dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
insurance,outer_1,claritree,4,0.01,0.001,3,1070.0,quantile,0,0.8520847111492209,20369246.217037216,25534220858.5466,4.334238290786743,19654591.3983246,0.8579297833232653,18671592.71429701,0.8956409526284906,3.0,full
insurance,outer_1,claritree,4,0.01,0.0001,3,1070.0,quantile,0,0.8520925015768105,20368099.13606876,25476834439.105125,4.337854623794556,19653763.53931715,0.8579357673758555,18688346.515198123,0.8955473124806658,3.0,full
insurance,outer_1,claritree,4,0.01,1e-05,3,1070.0,quantile,0,0.8520926071785787,20368079.793589365,25471014282.6954,4.333377361297607,19653754.883338675,0.8579358299442759,18690194.650188964,0.895536982906215,3.0,full
insurance,outer_1,claritree,4,0.008,0.1,3,1070.0,quantile,0,0.8403681327723215,21984103.296372507,27901405151.88281,4.732918739318848,20834680.262329757,0.8493996909286046,19974503.150165997,0.8883587408762189,3.0,full
insurance,outer_1,claritree,4,0.008,0.01,3,1070.0,quantile,0,0.8515827700073645,20440627.18012897,25153939875.11173,4.618862152099609,19711765.401091795,0.8575165097630679,18623904.52001598,0.8959074909255811,3.0,full
insurance,outer_1,claritree,4,0.008,0.001,3,1070.0,quantile,0,0.8520847111492209,20369246.217037216,24646051052.595238,4.365704536437988,19654591.3983246,0.8579297833232653,18671592.71429701,0.8956409526284906,3.0,full
insurance,outer_1,claritree,4,0.008,0.0001,3,1070.0,quantile,0,0.8520925015768105,20368099.13606876,24588664633.15376,4.3665618896484375,19653763.53931715,0.8579357673758555,18688346.515198123,0.8955473124806658,3.0,full
insurance,outer_1,claritree,4,0.008,1e-05,3,1070.0,quantile,0,0.8520926071785787,20368079.793589365,24582844476.744038,4.360654354095459,19653754.883338675,0.8579358299442759,18690194.650188964,0.895536982906215,3.0,full
insurance,outer_1,claritree,4,0.005,0.1,3,1070.0,quantile,0,0.8402208841690872,22004651.699146483,26427293601.79721,4.783694982528687,20535461.184697315,0.851562550401566,20355776.652723733,0.8862277314800865,4.0,full
insurance,outer_1,claritree,4,0.005,0.01,3,1070.0,quantile,0,0.8499751257395033,20646366.9576232,23821685166.184685,4.784985542297363,19711765.401091795,0.8575165097630679,18623904.52001598,0.8959074909255811,3.0,full
insurance,outer_1,claritree,4,0.005,0.001,3,1070.0,quantile,0,0.8496052869094394,20699459.30088808,23313796343.668182,4.731382608413696,19654591.3983246,0.8579297833232653,18671592.71429701,0.8956409526284906,3.0,full
insurance,outer_1,claritree,4,0.005,0.0001,3,1070.0,quantile,0,0.8496264534852455,20696779.106804144,23256409924.22671,4.658275842666626,19653763.53931715,0.8579357673758555,18688346.515198123,0.8955473124806658,3.0,full
insurance,outer_1,claritree,4,0.005,1e-05,3,1070.0,quantile,0,0.8496282448957048,20696558.135895588,23250589767.81699,4.642565011978149,19653754.883338675,0.8579358299442759,18690194.650188964,0.895536982906215,3.0,full
insurance,outer_1,claritree,4,0.003,0.1,3,1070.0,quantile,0,0.8391349070053377,22147591.553373944,25032528994.469963,4.822291851043701,20011616.795751613,0.8553490796828997,19973586.076879498,0.8883638665714937,7.0,full
insurance,outer_1,claritree,4,0.003,0.01,3,1070.0,quantile,0,0.848737507450131,20821648.641691167,22921169736.172684,4.774896860122681,19293546.67290542,0.8605395400630909,18616502.49233671,0.8959488622520151,4.0,full
insurance,outer_1,claritree,4,0.003,0.001,3,1070.0,quantile,0,0.8435406624665198,21568785.84017748,22369166179.71094,4.697214126586914,19170501.89042019,0.8614289505094515,18149551.66255237,0.8985587383622795,4.0,full
insurance,outer_1,claritree,4,0.003,0.0001,3,1070.0,quantile,0,0.8280985837458772,23601326.941951472,22295684855.775574,4.68442177772522,19169207.9416699,0.861438303620671,18165153.01967596,0.8984715394397219,4.0,full
insurance,outer_1,claritree,4,0.003,1e-05,3,1070.0,quantile,0,0.8192702491444722,24802604.90365829,22288209594.12168,4.727244138717651,19169194.47189942,0.8614384009848528,18166933.262537207,0.8984615893271668,4.0,full
insurance,outer_1,claritree,4,0.001,0.1,3,1070.0,quantile,0,0.8340689510950489,22851372.865579337,22456046672.281715,4.851359844207764,18958400.71769549,0.862962091491917,19665246.66146141,0.8900872336217764,13.0,full
insurance,outer_1,claritree,4,0.001,0.01,3,1070.0,quantile,0,0.8284538280207249,23640814.567903142,21351958123.619167,4.810749769210815,17979958.621230092,0.8700346109777368,18266064.7228996,0.897907524929648,9.0,full
insurance,outer_1,claritree,4,0.001,0.001,3,1070.0,quantile,0,0.8223435657490702,24429990.82687181,20537791087.688217,4.847838163375855,17217410.679480273,0.8755465724891845,19949201.30340268,0.888500157661887,12.0,full
insurance,outer_1,claritree,4,0.001,0.0001,3,1070.0,quantile,0,0.8193994496283593,24816406.84224142,20153662327.905235,4.827259063720703,17117272.454639737,0.8762704063767682,19709440.935962863,0.8898402235002074,12.0,full
insurance,outer_1,claritree,4,0.001,1e-05,3,1070.0,quantile,0,0.8186849873058181,24904871.943915352,20072245481.69979,4.808375358581543,16925479.505115055,0.8776567524647548,19668835.239374947,0.8900671763841211,13.0,full
insurance,outer_1,claritree,4,0.0005,0.1,3,1070.0,quantile,0,0.8343394604994215,22819570.438536663,21337543745.398285,4.856259822845459,18667885.00799487,0.8650620399970119,19473859.610477407,0.8911569318861693,16.0,full
insurance,outer_1,claritree,4,0.0005,0.01,3,1070.0,quantile,0,0.8273134620066885,23789394.275117338,20540785280.511948,4.846096038818359,17733028.601877246,0.8718195069667952,19143954.440050147,0.8930008340018342,14.0,full
insurance,outer_1,claritree,4,0.0005,0.001,3,1070.0,quantile,0,0.8244428015481704,24156354.654439863,19632944302.057243,4.853288888931274,17090979.90162721,0.8764604580867108,20021616.64025597,0.8880954147090638,13.0,full
insurance,outer_1,claritree,4,0.0005,0.0001,3,1070.0,quantile,0,0.8190522252135684,24912241.090728987,19187344439.52856,4.821010112762451,16798533.02045728,0.8785743657702757,20100143.504740663,0.8876565132775636,15.0,full
insurance,outer_1,claritree,4,0.0005,1e-05,3,1070.0,quantile,0,0.816129153642868,25245673.31118351,19069865590.095284,4.826831579208374,16745454.070442688,0.87895803886613,19896835.15014961,0.8887928419524894,15.0,full
insurance,outer_1,claritree,4,0.0001,0.1,3,1070.0,quantile,0,0.8328633021536053,23006040.904394064,20634918794.376045,4.855685710906982,18885360.43290784,0.8634900520521552,19478455.43511441,0.8911312449569211,16.0,full
insurance,outer_1,claritree,4,0.0001,0.01,3,1070.0,quantile,0,0.8262429580219539,23936643.62672131,19650258118.03808,4.809452295303345,17710172.130599596,0.8719847214839058,19452908.22562483,0.8912740331210658,16.0,full
insurance,outer_1,claritree,4,0.0001,0.001,3,1070.0,quantile,0,0.8235053437007585,24290563.85021,18800904507.7889,4.8354573249816895,16971141.43809935,0.8773266921454388,20219791.672004838,0.886987777142061,16.0,full
insurance,outer_1,claritree,4,0.0001,0.0001,3,1070.0,quantile,0,0.8154024243959722,25423925.36040169,18266305840.55043,4.761070728302002,16744868.945199257,0.8789622683547229,20542740.988986272,0.885182752601029,16.0,full
insurance,outer_1,claritree,4,0.0001,1e-05,3,1070.0,quantile,0,0.8207510797538807,24654177.99801972,18139564490.38155,4.767857074737549,16691228.58948936,0.8793499994860337,20398878.73346063,0.8859868258351177,16.0,full
insurance,outer_2,claritree,4,0.1,0.1,3,1070.0,quantile,0,0.8155880232177602,26929952.410063226,65574263827.43901,1.9977853298187256,26475477.994526874,0.8189811933148015,22981940.920119584,0.8442784866379901,2.0,full
insurance,outer_2,claritree,4,0.1,0.01,3,1070.0,quantile,0,0.8301780483214988,24812644.12995921,58475382157.63532,1.872617244720459,24413859.00235078,0.8330769467467284,20655408.74434174,0.8600426517516672,2.0,full
insurance,outer_2,claritree,4,0.1,0.001,3,1070.0,quantile,0,0.8304792204850749,24770578.117692184,57493633454.3982,1.8615097999572756,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2.0,full
insurance,outer_2,claritree,4,0.1,0.0001,3,1070.0,quantile,0,0.8304852249187663,24769907.73455823,57391586065.40687,1.8589458465576167,24374728.9472922,0.8333444877472609,20532345.88739484,0.860876503617749,2.0,full
insurance,outer_2,claritree,4,0.1,1e-05,3,1070.0,quantile,0,0.830485562750022,24769879.214435045,57381340942.49336,1.862936019897461,24374724.7373885,0.8333445165313207,20531490.27870872,0.860882301068883,2.0,full
insurance,outer_2,claritree,4,0.08,0.1,3,1070.0,quantile,0,0.8155880232177602,26929952.410063226,59314414484.07018,2.887682676315308,26475477.994526874,0.8189811933148015,22981940.920119584,0.8442784866379901,2.0,full
insurance,outer_2,claritree,4,0.08,0.01,3,1070.0,quantile,0,0.8301780483214988,24812644.12995921,52215532814.266495,2.1733052730560303,24413859.00235078,0.8330769467467284,20655408.74434174,0.8600426517516672,2.0,full
insurance,outer_2,claritree,4,0.08,0.001,3,1070.0,quantile,0,0.8304792204850749,24770578.117692184,51233784111.02937,2.150137424468994,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2.0,full
insurance,outer_2,claritree,4,0.08,0.0001,3,1070.0,quantile,0,0.8304852249187663,24769907.73455823,51131736722.03804,2.148139476776123,24374728.9472922,0.8333444877472609,20532345.88739484,0.860876503617749,2.0,full
insurance,outer_2,claritree,4,0.08,1e-05,3,1070.0,quantile,0,0.830485562750022,24769879.214435045,51121491599.12453,2.1435978412628174,24374724.7373885,0.8333445165313207,20531490.27870872,0.860882301068883,2.0,full
insurance,outer_2,claritree,4,0.05,0.1,3,1070.0,quantile,0,0.8510864613942571,21818286.244820677,48184136550.64461,3.709353685379028,21107196.77300358,0.8556853412388388,18639982.79430733,0.8736988168292507,3.0,full
insurance,outer_2,claritree,4,0.05,0.01,3,1070.0,quantile,0,0.8301780483214988,24812644.12995921,42825758799.21324,3.3575451374053955,24413859.00235078,0.8330769467467284,20655408.74434174,0.8600426517516672,2.0,full
insurance,outer_2,claritree,4,0.05,0.001,3,1070.0,quantile,0,0.8304792204850749,24770578.117692184,41844010095.97612,3.2087385654449463,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2.0,full
insurance,outer_2,claritree,4,0.05,0.0001,3,1070.0,quantile,0,0.8304852249187663,24769907.73455823,41741962706.98479,3.2288801670074463,24374728.9472922,0.8333444877472609,20532345.88739484,0.860876503617749,2.0,full
