dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auction,outer_4,pilot,4,1635.0,3,64.0,,,0.8844537496988017,12458665.064053856,0.0257570743560791,11671320.660626983,0.8919493326041001,9973136.69574128,0.90579584390136,13.0,full,64.0,5,26.0,52.0,
auction,outer_4,pilot,4,1635.0,3,32.0,,,0.8945557577651323,11372122.51437521,0.0272972583770751,11905693.504008971,0.8897795574018534,11152940.350180486,0.894651666194862,13.0,full,32.0,6,52.0,104.0,
auction,outer_4,pilot,4,1635.0,3,24.0,,,0.8887501221075086,11973623.24903716,0.0259974002838134,10739344.46529369,0.9005773750365702,8485676.308177583,0.9198460825389624,13.0,full,24.0,7,69.0,138.0,
auction,outer_4,pilot,4,1635.0,3,20.0,,,0.8717937038880311,13828411.754180009,0.0256345272064209,10739368.284072137,0.9005771545272566,8485695.11064523,0.9198459049347992,13.0,full,20.0,8,82.0,164.0,
auction,outer_4,pilot,4,1635.0,3,16.0,,,0.8582651020523961,15251025.75906604,0.024073839187622,10740257.61543166,0.9005689212818745,8486064.11710102,0.9198424193772636,12.0,full,16.0,9,103.0,206.0,
auction,outer_4,pilot,4,1635.0,3,14.0,,,0.8582384277347087,15253848.28123343,0.0223631858825683,11746244.40009436,0.8912557041546174,9368870.753095632,0.9115036131742298,11.0,full,14.0,10,117.0,234.0,
auction,outer_4,pilot,4,1635.0,3,12.0,,,0.8590056783681367,15165344.17618882,0.0160219669342041,15024141.3275433,0.8609096138564865,14029734.52400823,0.8674780722010433,8.0,full,12.0,11,137.0,274.0,
auction,outer_4,pilot,4,1635.0,3,10.0,,,0.6216634069341451,40544246.11287075,0.014472484588623,15058536.725763068,0.86059118838939,14055781.116718814,0.8672320415528729,7.0,full,10.0,12,164.0,328.0,
auction,outer_4,pilot,4,1635.0,3,8.0,,,0.4389235541108203,60521575.55074113,0.0130560398101806,15156805.83801254,0.8596814333178171,14216208.552740464,0.8657166776621983,5.0,full,8.0,13,205.0,410.0,
auction,outer_4,pilot,4,1635.0,3,6.0,,,0.3355864495898444,71683841.94272608,0.0088930130004882,60246556.87220584,0.4422498646355264,58907207.86369225,0.4435748777718087,4.0,full,6.0,14,273.0,546.0,
auction,outer_4,pilot,4,1635.0,3,4.0,,,0.3289008920192801,72402537.03173982,0.0067963600158691,71341133.50574282,0.3395385738925105,68436480.9686388,0.353563363995176,3.0,full,4.0,15,409.0,818.0,
auction,outer_4,pilot,4,1635.0,3,2.0,,,-0.0011730360115228,108087491.210949,0.0066182613372802,88181283.7628026,0.1836359535094633,84608448.6423618,0.2008063514689051,1.0,full,2.0,16,817.0,1634.0,
auction,mean,pilot,4,,3,1634.4,,,0.8871959259058814,12171193.145281758,0.03358430862426754,11008119.70677535,0.8976091159820729,12363975.798225531,0.8835635683735337,15.4,full,1634.4,0,1.0,2.0,5.0
auction,mean,pilot,4,,3,817.0,,,0.8871959258919089,12171193.14663823,0.03407940864562982,11008119.709617186,0.8976091159557639,12363975.801300498,0.8835635683444881,15.2,full,817.0,1,2.4,4.8,5.0
auction,mean,pilot,4,,3,408.0,,,0.8875052947182767,12131823.622957485,0.03201646804809566,11003863.924948761,0.8976474269005894,12363975.801300498,0.8835635683444881,14.6,full,408.0,2,5.0,10.0,5.0
auction,mean,pilot,4,,3,204.0,,,0.8864156731886702,12244775.138206428,0.030533552169799784,11064609.025947746,0.8970850264993624,12391679.478686145,0.8833115914285908,14.2,full,204.0,3,9.0,18.0,5.0
auction,mean,pilot,4,,3,102.0,,,0.8870882251390304,12174144.64746054,0.029558181762695278,11236777.321544958,0.8954784114656429,12216645.646419251,0.8849914300789239,13.4,full,102.0,4,17.0,34.0,5.0
