dataset,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split,threshold_label
california_housing,greedy,4,0.0005,0.01,3,20,quantile,0.0,0.6992387406720803,4006489702.766944,0.7085645766375832,0.703604117807239,3883040411.0624,3945910431.9574637,70873186931148.89,0.28763651847839355,14.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.0005,0.1,3,20,quantile,0.0,0.6289434692308115,4943453749.139014,0.6335823067224411,0.628534798423976,4882100916.85086,4944774465.733049,87363000502669.47,0.3022189140319824,12.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.001,1e-05,3,20,quantile,0.0,0.7239411821204766,3677116944.4934196,0.7376648531265364,0.7282507238228847,3495346116.9674277,3617121633.657088,60340749595486.52,0.30371556282043455,14.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.001,0.0001,3,20,quantile,0.0,0.7258602879946309,3651625271.961914,0.7377198818573978,0.7289693577414521,3494535520.013752,3607744960.334764,60898642185730.266,0.3051327705383301,13.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.001,0.001,3,20,quantile,0.0,0.7218127877446812,3705371145.8541656,0.726737410903488,0.7201761778846959,3640939516.813498,3725481493.1639924,64045430139480.89,0.30073494911193843,10.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.001,0.01,3,20,quantile,0.0,0.6992035459978088,4006847842.868438,0.7074045141105441,0.7033471334138033,3898472716.129593,3949127224.1213164,72198345613634.48,0.2871899127960205,11.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.001,0.1,3,20,quantile,0.0,0.6281907931466891,4953405038.389334,0.632959555081569,0.6276598305786864,4890369663.2554245,4956676586.839928,88674485881360.7,0.3011333465576172,11.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.003,1e-05,3,20,quantile,0.0,0.7201060853989764,3728430631.8628907,0.7288751445298507,0.720489988535039,3612380694.756288,3720478334.0719557,65133089211273.1,0.3014070510864258,9.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.003,0.0001,3,20,quantile,0.0,0.7204204266419543,3724333646.4475937,0.7280020557483576,0.7200087047973703,3624047673.9670815,3726754496.5394316,65465661890253.125,0.3043623924255371,8.6,mean,5,,,,,,,,20
california_housing,greedy,4,0.003,0.001,3,20,quantile,0.0,0.7159929249317518,3783171464.6694517,0.7203489959178163,0.7134488348019812,3726216250.364341,3813976923.307662,68171388520252.54,0.29843549728393554,8.0,mean,5,,,,,,,,20
